Температура (день),Давление (день),Облачность (день),Ветер (день),Температура (вечер),Давление (вечер),Облачность (вечер),Ветер (вечер)
-7.0,761,Пасмурно,В 4м/с,-10.0,764.0,Пасмурно,В 4м/с
-12.0,762,Малооблачно,В 3м/с,-15.0,759.0,Ясно,В 3м/с
-14.0,749,Ясно,В 2м/с,-16.0,747.0,Малооблачно,В 2м/с
-15.0,748,Ясно,В 1м/с,-20.0,750.0,Малооблачно,В 1м/с
-16.0,750,Пасмурно,В 4м/с,-12.0,750.0,Пасмурно,В 4м/с
-7.0,757,Пасмурно,В 1м/с,-7.0,758.0,Пасмурно,В 1м/с
-5.0,758,Пасмурно,ЮВ 3м/с,-6.0,759.0,Малооблачно,ЮВ 3м/с
-7.0,759,Пасмурно,В 3м/с,-9.0,760.0,Пасмурно,В 3м/с
-11.0,764,Малооблачно,В 3м/с,-14.0,766.0,Малооблачно,В 3м/с
-9.0,772,Ясно,В 2м/с,-12.0,773.0,Ясно,В 2м/с
-9.0,770,Ясно,Ш,-13.0,768.0,Ясно,Ш
-10.0,767,Ясно,СЗ 1м/с,-16.0,767.0,Ясно,СЗ 1м/с
-11.0,767,Ясно,З 1м/с,-16.0,767.0,Ясно,З 1м/с
-13.0,767,Переменная облачность,В 2м/с,-15.0,767.0,Малооблачно,В 2м/с
-14.0,770,Ясно,В 4м/с,-16.0,770.0,Ясно,В 4м/с
-15.0,774,Ясно,ЮВ 2м/с,-18.0,775.0,Ясно,ЮВ 2м/с
-16.0,776,Ясно,ЮВ 2м/с,-19.0,776.0,Ясно,ЮВ 2м/с
-12.0,776,Ясно,В 1м/с,-16.0,776.0,Ясно,В 1м/с
-10.0,773,Пасмурно,З 1м/с,-15.0,770.0,Ясно,З 1м/с
-10.0,764,Малооблачно,В 3м/с,-13.0,761.0,Ясно,В 3м/с
-10.0,752,Пасмурно,ЮВ 3м/с,-9.0,749.0,Пасмурно,ЮВ 3м/с
-7.0,740,Пасмурно,В 2м/с,-7.0,736.0,Пасмурно,В 2м/с
-6.0,740,Ясно,СЗ 4м/с,-10.0,743.0,Пасмурно,СЗ 4м/с
-9.0,751,Ясно,З 1м/с,-14.0,751.0,Ясно,З 1м/с
-11.0,746,Переменная облачность,З 3м/с,-12.0,748.0,Малооблачно,З 3м/с
-4.0,745,Пасмурно,З 2м/с,-8.0,746.0,Пасмурно,З 2м/с
-12.0,743,Пасмурно,В 3м/с,-12.0,743.0,Пасмурно,В 3м/с
-9.0,743,Пасмурно,В 4м/с,-10.0,743.0,Пасмурно,В 4м/с
-7.0,743,Пасмурно,В 3м/с,-8.0,745.0,Пасмурно,В 3м/с
-5.0,746,Пасмурно,СВ 2м/с,-6.0,747.0,Переменная облачность,СВ 2м/с
-3.0,749,Пасмурно,Ш,-3.0,750.0,Пасмурно,Ш
-3.0,754,Пасмурно,Ш,-5.0,755.0,Пасмурно,Ш
-3.0,755,Переменная облачность,ЮЗ 2м/с,-7.0,755.0,Малооблачно,ЮЗ 2м/с
-6.0,755,Переменная облачность,СЗ 2м/с,-10.0,756.0,Переменная облачность,СЗ 2м/с
-8.0,758,Пасмурно,В 1м/с,-10.0,758.0,Ясно,В 1м/с
-6.0,755,Пасмурно,В 3м/с,-8.0,753.0,Пасмурно,В 3м/с
-4.0,752,Пасмурно,В 1м/с,-5.0,752.0,Пасмурно,В 1м/с
-4.0,750,Пасмурно,ЮВ 2м/с,-6.0,748.0,Переменная облачность,ЮВ 2м/с
0.0,747,Переменная облачность,ЮЗ 2м/с,-4.0,750.0,Ясно,ЮЗ 2м/с
-5.0,753,Переменная облачность,В 2м/с,-6.0,752.0,Пасмурно,В 2м/с
-4.0,749,Пасмурно,В 2м/с,-4.0,747.0,Пасмурно,В 2м/с
-3.0,740,Пасмурно,С 1м/с,-5.0,742.0,Пасмурно,С 1м/с
-6.0,749,Ясно,СЗ 2м/с,-11.0,750.0,Ясно,СЗ 2м/с
-4.0,751,Пасмурно,ЮЗ 2м/с,-8.0,750.0,Переменная облачность,ЮЗ 2м/с
-3.0,746,Пасмурно,З 4м/с,-4.0,749.0,Переменная облачность,З 4м/с
-1.0,751,Пасмурно,Ю 2м/с,-5.0,749.0,Переменная облачность,Ю 2м/с
0.0,737,Пасмурно,ЮЗ 4м/с,-1.0,738.0,Пасмурно,ЮЗ 4м/с
0.0,738,Переменная облачность,З 2м/с,-2.0,738.0,Пасмурно,З 2м/с
0.0,742,Малооблачно,ЮЗ 4м/с,-4.0,744.0,Ясно,ЮЗ 4м/с
1.0,738,Пасмурно,ЮЗ 3м/с,-4.0,740.0,Пасмурно,ЮЗ 3м/с
-5.0,746,Малооблачно,З 3м/с,-7.0,748.0,Пасмурно,З 3м/с
-4.0,754,Ясно,ЮЗ 2м/с,-10.0,755.0,Ясно,ЮЗ 2м/с
-7.0,755,Ясно,З 4м/с,-11.0,755.0,Переменная облачность,З 4м/с
-2.0,746,Пасмурно,ЮЗ 2м/с,-4.0,749.0,Переменная облачность,ЮЗ 2м/с
3.0,746,Пасмурно,ЮЗ 1м/с,1.0,745.0,Пасмурно,ЮЗ 1м/с
3.0,741,Пасмурно,З 3м/с,2.0,739.0,Пасмурно,З 3м/с
2.0,744,Ясно,СЗ 4м/с,-3.0,749.0,Ясно,СЗ 4м/с
1.0,749,Переменная облачность,ЮЗ 4м/с,-1.0,747.0,Переменная облачность,ЮЗ 4м/с
0.0,749,Переменная облачность,С 2м/с,-4.0,752.0,Ясно,С 2м/с
0.0,758,Переменная облачность,СЗ 3м/с,-4.0,759.0,Ясно,СЗ 3м/с
1.0,758,Пасмурно,З 5м/с,-2.0,758.0,Пасмурно,З 5м/с
4.0,758,Ясно,Ю 2м/с,-1.0,758.0,Ясно,Ю 2м/с
5.0,758,Ясно,В 2м/с,0.0,758.0,Ясно,В 2м/с
5.0,757,Пасмурно,В 2м/с,2.0,757.0,Пасмурно,В 2м/с
8.0,757,Пасмурно,ЮВ 2м/с,4.0,757.0,Малооблачно,ЮВ 2м/с
10.0,757,Малооблачно,В 3м/с,6.0,758.0,Ясно,В 3м/с
9.0,759,Ясно,ЮВ 2м/с,5.0,759.0,Ясно,ЮВ 2м/с
8.0,758,Малооблачно,С 2м/с,6.0,757.0,Ясно,С 2м/с
12.0,757,Малооблачно,СВ 2м/с,7.0,756.0,Ясно,СВ 2м/с
11.0,756,Малооблачно,СВ 2м/с,8.0,755.0,Ясно,СВ 2м/с
12.0,755,Пасмурно,СВ 3м/с,,,Неизвестно,
4.0,759,Пасмурно,В 3м/с,1.0,760.0,Переменная облачность,В 3м/с
4.0,761,Пасмурно,В 3м/с,0.0,761.0,Ясно,В 3м/с
6.0,758,Ясно,В 2м/с,3.0,757.0,Ясно,В 2м/с
9.0,755,Малооблачно,В 3м/с,5.0,755.0,Ясно,В 3м/с
9.0,754,Ясно,С 3м/с,5.0,753.0,Ясно,С 3м/с
12.0,753,Пасмурно,СВ 3м/с,7.0,753.0,Малооблачно,СВ 3м/с
9.0,752,Пасмурно,СЗ 2м/с,4.0,752.0,Пасмурно,СЗ 2м/с
8.0,749,Переменная облачность,СЗ 3м/с,2.0,751.0,Ясно,СЗ 3м/с
11.0,752,Переменная облачность,ЮЗ 2м/с,8.0,751.0,Пасмурно,ЮЗ 2м/с
13.0,751,Пасмурно,З 2м/с,9.0,752.0,Пасмурно,З 2м/с
17.0,752,Пасмурно,Ю 3м/с,10.0,752.0,Пасмурно,Ю 3м/с
13.0,748,Пасмурно,ЮЗ 1м/с,11.0,750.0,Пасмурно,ЮЗ 1м/с
17.0,749,Пасмурно,СЗ 3м/с,12.0,750.0,Ясно,СЗ 3м/с
20.0,750,Пасмурно,ЮЗ 3м/с,16.0,751.0,Пасмурно,ЮЗ 3м/с
21.0,751,Ясно,ЮВ 2м/с,17.0,750.0,Ясно,ЮВ 2м/с
23.0,747,Малооблачно,Ю 4м/с,19.0,746.0,Малооблачно,Ю 4м/с
18.0,748,Пасмурно,З 4м/с,13.0,752.0,Пасмурно,З 4м/с
14.0,758,Пасмурно,ЮЗ 3м/с,10.0,758.0,Пасмурно,ЮЗ 3м/с
17.0,752,Ясно,ЮЗ 3м/с,12.0,749.0,Малооблачно,ЮЗ 3м/с
11.0,749,Пасмурно,С 3м/с,4.0,749.0,Малооблачно,С 3м/с
5.0,750,Пасмурно,СВ 2м/с,1.0,752.0,Переменная облачность,СВ 2м/с
11.0,749,Пасмурно,СЗ 5м/с,8.0,749.0,Ясно,СЗ 5м/с
15.0,747,Пасмурно,З 4м/с,10.0,748.0,Пасмурно,З 4м/с
17.0,751,Малооблачно,ЮЗ 2м/с,14.0,750.0,Ясно,ЮЗ 2м/с
17.0,752,Пасмурно,Ю 3м/с,15.0,752.0,Ясно,Ю 3м/с
20.0,753,Пасмурно,З 3м/с,19.0,752.0,Пасмурно,З 3м/с
21.0,754,Ясно,З 2м/с,21.0,754.0,Ясно,З 2м/с
26.0,755,Ясно,ЮЗ 3м/с,18.0,755.0,Ясно,ЮЗ 3м/с
28.0,754,Ясно,З 1м/с,19.0,752.0,Ясно,З 1м/с
29.0,752,Малооблачно,СЗ 2м/с,21.0,752.0,Ясно,СЗ 2м/с
30.0,751,Малооблачно,З 2м/с,24.0,750.0,Ясно,З 2м/с
27.0,753,Ясно,СВ 3м/с,20.0,753.0,Ясно,СВ 3м/с
26.0,751,Пасмурно,В 3м/с,22.0,751.0,Пасмурно,В 3м/с
24.0,752,Ясно,В 4м/с,19.0,752.0,Ясно,В 4м/с
24.0,755,Ясно,В 3м/с,19.0,756.0,Ясно,В 3м/с
25.0,755,Пасмурно,ЮВ 2м/с,21.0,753.0,Малооблачно,ЮВ 2м/с
22.0,754,Пасмурно,ЮВ 2м/с,18.0,753.0,Ясно,ЮВ 2м/с
25.0,751,Переменная облачность,ЮВ 6м/с,16.0,752.0,Пасмурно,ЮВ 6м/с
20.0,752,Переменная облачность,В 3м/с,19.0,752.0,Переменная облачность,В 3м/с
26.0,750,Малооблачно,ЮВ 2м/с,20.0,749.0,Ясно,ЮВ 2м/с
26.0,747,Малооблачно,СЗ 1м/с,23.0,746.0,Ясно,СЗ 1м/с
21.0,746,Переменная облачность,СВ 2м/с,17.0,747.0,Пасмурно,СВ 2м/с
22.0,746,Малооблачно,С 2м/с,16.0,746.0,Пасмурно,С 2м/с
20.0,749,Ясно,СВ 4м/с,15.0,750.0,Ясно,СВ 4м/с
18.0,754,Ясно,ЮВ 2м/с,11.0,753.0,Ясно,ЮВ 2м/с
21.0,749,Ясно,ЮЗ 3м/с,17.0,748.0,Ясно,ЮЗ 3м/с
24.0,746,Ясно,З 2м/с,16.0,746.0,Ясно,З 2м/с
26.0,743,Малооблачно,ЮВ 1м/с,19.0,743.0,Ясно,ЮВ 1м/с
24.0,741,Пасмурно,ЮВ 2м/с,20.0,740.0,Пасмурно,ЮВ 2м/с
19.0,737,Пасмурно,ЮВ 2м/с,19.0,737.0,Малооблачно,ЮВ 2м/с
15.0,738,Переменная облачность,ЮЗ 4м/с,11.0,740.0,Переменная облачность,ЮЗ 4м/с
13.0,739,Переменная облачность,ЮЗ 3м/с,13.0,741.0,Малооблачно,ЮЗ 3м/с
13.0,747,Пасмурно,СЗ 2м/с,12.0,749.0,Малооблачно,СЗ 2м/с
20.0,752,Переменная облачность,В 2м/с,15.0,752.0,Переменная облачность,В 2м/с
23.0,754,Малооблачно,З 2м/с,20.0,753.0,Малооблачно,З 2м/с
26.0,754,Ясно,ЮЗ 2м/с,22.0,753.0,Ясно,ЮЗ 2м/с
28.0,754,Малооблачно,СЗ 1м/с,23.0,752.0,Ясно,СЗ 1м/с
31.0,740,Ясно,З 2м/с,22.0,749.0,Ясно,З 2м/с
33.0,748,Ясно,ЮЗ 3м/с,28.0,746.0,Малооблачно,ЮЗ 3м/с
30.0,743,Малооблачно,ЮЗ 2м/с,26.0,742.0,Ясно,ЮЗ 2м/с
20.0,749,Ясно,С 2м/с,14.0,749.0,Ясно,С 2м/с
22.0,750,Малооблачно,СЗ 2м/с,16.0,749.0,Ясно,СЗ 2м/с
25.0,748,Ясно,ЮЗ 2м/с,18.0,747.0,Ясно,ЮЗ 2м/с
29.0,746,Ясно,ЮЗ 3м/с,23.0,744.0,Ясно,ЮЗ 3м/с
19.0,748,Переменная облачность,СВ 2м/с,16.0,748.0,Ясно,СВ 2м/с
22.0,749,Малооблачно,С 1м/с,17.0,750.0,Малооблачно,С 1м/с
27.0,749,Малооблачно,З 4м/с,26.0,747.0,Ясно,З 4м/с
34.0,745,Малооблачно,З 4м/с,31.0,744.0,Ясно,З 4м/с
24.0,744,Переменная облачность,СЗ 1м/с,24.0,745.0,Малооблачно,СЗ 1м/с
27.0,748,Ясно,С 3м/с,22.0,747.0,Ясно,С 3м/с
29.0,745,Малооблачно,С 1м/с,23.0,743.0,Малооблачно,С 1м/с
27.0,740,Малооблачно,СЗ 3м/с,20.0,740.0,Пасмурно,СЗ 3м/с
22.0,743,Малооблачно,СЗ 2м/с,19.0,745.0,Ясно,СЗ 2м/с
20.0,748,Пасмурно,С 3м/с,17.0,751.0,Ясно,С 3м/с
25.0,754,Малооблачно,С 2м/с,21.0,755.0,Ясно,С 2м/с
26.0,755,Ясно,С 2м/с,19.0,755.0,Ясно,С 2м/с
28.0,753,Ясно,С 2м/с,24.0,752.0,Ясно,С 2м/с
32.0,750,Ясно,В 2м/с,27.0,749.0,Ясно,В 2м/с
33.0,749,Ясно,З 2м/с,23.0,748.0,Малооблачно,З 2м/с
35.0,749,Малооблачно,СЗ 1м/с,25.0,748.0,Ясно,СЗ 1м/с
35.0,749,Малооблачно,З 2м/с,29.0,749.0,Малооблачно,З 2м/с
36.0,750,Малооблачно,В 1м/с,29.0,750.0,Малооблачно,В 1м/с
36.0,747,Ясно,В 2м/с,28.0,749.0,Малооблачно,В 2м/с
30.0,747,Переменная облачность,С 3м/с,28.0,747.0,Переменная облачность,С 3м/с
25.0,748,Пасмурно,В 1м/с,21.0,748.0,Переменная облачность,В 1м/с
27.0,749,Малооблачно,В 2м/с,23.0,749.0,Ясно,В 2м/с
27.0,750,Ясно,ЮВ 2м/с,21.0,749.0,Ясно,ЮВ 2м/с
29.0,749,Малооблачно,В 3м/с,26.0,748.0,Ясно,В 3м/с
30.0,746,Малооблачно,СЗ 2м/с,25.0,746.0,Ясно,СЗ 2м/с
31.0,746,Малооблачно,СВ 3м/с,25.0,747.0,Ясно,СВ 3м/с
30.0,747,Ясно,СВ 2м/с,26.0,747.0,Ясно,СВ 2м/с
31.0,746,Ясно,В 2м/с,27.0,746.0,Ясно,В 2м/с
32.0,749,Малооблачно,В 2м/с,25.0,749.0,Ясно,В 2м/с
34.0,749,Малооблачно,З 2м/с,26.0,749.0,Переменная облачность,З 2м/с
35.0,749,Переменная облачность,З 3м/с,28.0,749.0,Малооблачно,З 3м/с
36.0,748,Малооблачно,З 2м/с,29.0,748.0,Малооблачно,З 2м/с
33.0,746,Малооблачно,СВ 3м/с,29.0,746.0,Ясно,СВ 3м/с
27.0,745,Малооблачно,С 3м/с,22.0,744.0,Ясно,С 3м/с
26.0,745,Ясно,СВ 4м/с,22.0,744.0,Ясно,СВ 4м/с
26.0,745,Пасмурно,С 3м/с,26.0,745.0,Ясно,С 3м/с
31.0,746,Ясно,СВ 5м/с,28.0,746.0,Ясно,СВ 5м/с
35.0,744,Переменная облачность,С 3м/с,30.0,746.0,Ясно,С 3м/с
35.0,745,Малооблачно,З 2м/с,22.0,746.0,Ясно,З 2м/с
28.0,749,Ясно,В 2м/с,24.0,749.0,Ясно,В 2м/с
29.0,752,Ясно,ЮЗ 3м/с,21.0,750.0,Ясно,ЮЗ 3м/с
34.0,750,Ясно,ЮЗ 3м/с,24.0,749.0,Малооблачно,ЮЗ 3м/с
35.0,750,Малооблачно,СВ 1м/с,30.0,750.0,Ясно,СВ 1м/с
35.0,751,Ясно,З 2м/с,27.0,750.0,Ясно,З 2м/с
37.0,749,Малооблачно,СВ 1м/с,32.0,749.0,Ясно,СВ 1м/с
36.0,749,Малооблачно,ЮВ 2м/с,26.0,750.0,Ясно,ЮВ 2м/с
38.0,752,Малооблачно,С 2м/с,31.0,752.0,Ясно,С 2м/с
35.0,754,Ясно,В 1м/с,31.0,754.0,Ясно,В 1м/с
36.0,752,Ясно,СЗ 2м/с,32.0,752.0,Ясно,СЗ 2м/с
38.0,752,Ясно,В 2м/с,32.0,752.0,Ясно,В 2м/с
38.0,751,Малооблачно,Ю 1м/с,32.0,752.0,Малооблачно,Ю 1м/с
38.0,752,Ясно,З 1м/с,31.0,752.0,Ясно,З 1м/с
39.0,752,Малооблачно,ЮЗ 2м/с,32.0,752.0,Ясно,ЮЗ 2м/с
40.0,751,Малооблачно,СЗ 2м/с,29.0,750.0,Переменная облачность,СЗ 2м/с
38.0,749,Ясно,В 2м/с,33.0,749.0,Малооблачно,В 2м/с
36.0,749,Ясно,СВ 1м/с,32.0,749.0,Ясно,СВ 1м/с
35.0,752,Ясно,СВ 1м/с,29.0,752.0,Ясно,СВ 1м/с
36.0,753,Ясно,ЮВ 2м/с,27.0,753.0,Ясно,ЮВ 2м/с
37.0,752,Малооблачно,З 1м/с,26.0,752.0,Ясно,З 1м/с
37.0,751,Малооблачно,С 3м/с,31.0,751.0,Малооблачно,С 3м/с
34.0,752,Ясно,СВ 3м/с,29.0,752.0,Ясно,СВ 3м/с
35.0,752,Ясно,В 2м/с,28.0,752.0,Ясно,В 2м/с
34.0,752,Ясно,ЮЗ 1м/с,28.0,753.0,Ясно,ЮЗ 1м/с
36.0,752,Ясно,ЮВ 2м/с,25.0,751.0,Ясно,ЮВ 2м/с
36.0,751,Малооблачно,ЮВ 2м/с,30.0,752.0,Ясно,ЮВ 2м/с
32.0,752,Малооблачно,СВ 3м/с,25.0,752.0,Малооблачно,СВ 3м/с
27.0,752,Ясно,С 3м/с,23.0,750.0,Ясно,С 3м/с
29.0,749,Ясно,З 2м/с,21.0,747.0,Ясно,З 2м/с
29.0,746,Малооблачно,СЗ 4м/с,23.0,746.0,Ясно,СЗ 4м/с
29.0,746,Ясно,З 3м/с,27.0,743.0,Ясно,З 3м/с
31.0,739,Малооблачно,ЮЗ 4м/с,26.0,737.0,Переменная облачность,ЮЗ 4м/с
27.0,737,Малооблачно,ЮЗ 5м/с,20.0,735.0,Переменная облачность,ЮЗ 5м/с
12.0,742,Пасмурно,С 4м/с,13.0,743.0,Малооблачно,С 4м/с
18.0,748,Переменная облачность,СЗ 3м/с,14.0,748.0,Переменная облачность,СЗ 3м/с
25.0,743,Малооблачно,З 3м/с,20.0,742.0,Малооблачно,З 3м/с
23.0,743,Малооблачно,З 2м/с,21.0,743.0,Ясно,З 2м/с
27.0,743,Переменная облачность,З 3м/с,26.0,743.0,Малооблачно,З 3м/с
31.0,741,Малооблачно,ЮЗ 1м/с,21.0,740.0,Малооблачно,ЮЗ 1м/с
23.0,743,Малооблачно,ЮЗ 2м/с,18.0,743.0,Малооблачно,ЮЗ 2м/с
24.0,745,Малооблачно,З 2м/с,22.0,743.0,Переменная облачность,З 2м/с
32.0,742,Малооблачно,ЮЗ 4м/с,28.0,742.0,Переменная облачность,ЮЗ 4м/с
28.0,741,Малооблачно,СЗ 3м/с,17.0,745.0,Ясно,СЗ 3м/с
20.0,750,Ясно,СВ 1м/с,11.0,753.0,Ясно,СВ 1м/с
19.0,755,Ясно,В 2м/с,16.0,755.0,Ясно,В 2м/с
29.0,752,Ясно,В 6м/с,23.0,752.0,Ясно,В 6м/с
29.0,750,Ясно,СВ 2м/с,24.0,751.0,Ясно,СВ 2м/с
23.0,753,Ясно,З 2м/с,,,Неизвестно,
19.0,753,Пасмурно,С 1м/с,17.0,752.0,Переменная облачность,С 1м/с
19.0,747,Переменная облачность,С 3м/с,11.0,748.0,Переменная облачность,С 3м/с
13.0,751,Переменная облачность,СЗ 4м/с,9.0,752.0,Ясно,СЗ 4м/с
15.0,755,Ясно,СЗ 1м/с,11.0,754.0,Малооблачно,СЗ 1м/с
17.0,754,Переменная облачность,СВ 3м/с,14.0,754.0,Переменная облачность,СВ 3м/с
18.0,755,Малооблачно,З 3м/с,14.0,755.0,Переменная облачность,З 3м/с
17.0,758,Ясно,СВ 2м/с,12.0,757.0,Переменная облачность,СВ 2м/с
20.0,755,Малооблачно,З 2м/с,16.0,754.0,Переменная облачность,З 2м/с
15.0,753,Переменная облачность,В 2м/с,13.0,754.0,Ясно,В 2м/с
17.0,757,Ясно,В 2м/с,11.0,756.0,Ясно,В 2м/с
19.0,757,Ясно,З 2м/с,13.0,755.0,Ясно,З 2м/с
23.0,755,Ясно,З 3м/с,17.0,755.0,Ясно,З 3м/с
25.0,753,Ясно,ЮЗ 3м/с,20.0,753.0,Ясно,ЮЗ 3м/с
25.0,753,Ясно,Ю 2м/с,20.0,752.0,Ясно,Ю 2м/с
25.0,752,Ясно,ЮЗ 3м/с,21.0,752.0,Ясно,ЮЗ 3м/с
26.0,753,Малооблачно,ЮЗ 4м/с,21.0,752.0,Малооблачно,ЮЗ 4м/с
26.0,752,Малооблачно,З 2м/с,17.0,753.0,Малооблачно,З 2м/с
24.0,752,Малооблачно,В 2м/с,21.0,750.0,Пасмурно,В 2м/с
16.0,747,Пасмурно,ЮВ 2м/с,14.0,746.0,Пасмурно,ЮВ 2м/с
12.0,746,Пасмурно,СЗ 2м/с,11.0,747.0,Переменная облачность,СЗ 2м/с
13.0,745,Малооблачно,С 3м/с,11.0,752.0,Переменная облачность,С 3м/с
19.0,752,Ясно,З 2м/с,12.0,752.0,Ясно,З 2м/с
20.0,750,Ясно,З 3м/с,14.0,750.0,Ясно,З 3м/с
20.0,747,Малооблачно,ЮЗ 2м/с,18.0,745.0,Малооблачно,ЮЗ 2м/с
21.0,740,Малооблачно,З 3м/с,14.0,740.0,Переменная облачность,З 3м/с
6.0,746,Переменная облачность,СЗ 2м/с,5.0,747.0,Ясно,СЗ 2м/с
7.0,746,Малооблачно,СВ 3м/с,5.0,747.0,Переменная облачность,СВ 3м/с
9.0,751,Малооблачно,СВ 3м/с,4.0,753.0,Переменная облачность,СВ 3м/с
6.0,758,Пасмурно,З 2м/с,2.0,760.0,Пасмурно,З 2м/с
5.0,761,Пасмурно,СЗ 2м/с,3.0,761.0,Ясно,СЗ 2м/с
3.0,761,Малооблачно,СВ 1м/с,3.0,761.0,Малооблачно,СВ 1м/с
5.0,761,Малооблачно,СВ 1м/с,4.0,761.0,Переменная облачность,СВ 1м/с
11.0,760,Ясно,З 2м/с,8.0,760.0,Ясно,З 2м/с
13.0,761,Ясно,СЗ 1м/с,6.0,761.0,Ясно,СЗ 1м/с
14.0,757,Ясно,В 1м/с,5.0,755.0,Ясно,В 1м/с
14.0,751,Ясно,З 1м/с,10.0,750.0,Ясно,З 1м/с
14.0,745,Переменная облачность,Ю 3м/с,11.0,744.0,Переменная облачность,Ю 3м/с
14.0,736,Переменная облачность,ЮВ 2м/с,8.0,733.0,Переменная облачность,ЮВ 2м/с
4.0,732,Пасмурно,ЮЗ 3м/с,4.0,734.0,Пасмурно,ЮЗ 3м/с
2.0,738,Пасмурно,З 4м/с,3.0,742.0,Переменная облачность,З 4м/с
6.0,745,Переменная облачность,ЮЗ 3м/с,5.0,745.0,Переменная облачность,ЮЗ 3м/с
10.0,746,Ясно,З 3м/с,3.0,749.0,Ясно,З 3м/с
5.0,753,Малооблачно,СЗ 2м/с,1.0,755.0,Переменная облачность,СЗ 2м/с
7.0,758,Переменная облачность,З 2м/с,4.0,758.0,Малооблачно,З 2м/с
5.0,761,Ясно,СВ 1м/с,-1.0,763.0,Ясно,СВ 1м/с
7.0,764,Ясно,ЮВ 2м/с,2.0,763.0,Ясно,ЮВ 2м/с
1.0,754,Пасмурно,В 4м/с,3.0,752.0,Пасмурно,В 4м/с
6.0,749,Пасмурно,Ю 2м/с,7.0,751.0,Переменная облачность,Ю 2м/с
8.0,756,Малооблачно,ЮЗ 4м/с,5.0,758.0,Ясно,ЮЗ 4м/с
8.0,760,Ясно,Ю 1м/с,4.0,760.0,Ясно,Ю 1м/с
8.0,758,Ясно,В 1м/с,5.0,758.0,Ясно,В 1м/с
8.0,758,Ясно,ЮЗ 2м/с,5.0,757.0,Ясно,ЮЗ 2м/с
8.0,752,Переменная облачность,Ю 2м/с,7.0,749.0,Ясно,Ю 2м/с
7.0,744,Пасмурно,В 2м/с,9.0,743.0,Пасмурно,В 2м/с
3.0,744,Переменная облачность,З 3м/с,1.0,746.0,Пасмурно,З 3м/с
1.0,749,Пасмурно,ЮЗ 2м/с,1.0,751.0,Пасмурно,ЮЗ 2м/с
1.0,755,Пасмурно,СВ 2м/с,-1.0,757.0,Переменная облачность,СВ 2м/с
0.0,755,Малооблачно,С 2м/с,-3.0,754.0,Ясно,С 2м/с
3.0,750,Ясно,З 2м/с,3.0,750.0,Пасмурно,З 2м/с
6.0,752,Переменная облачность,З 1м/с,6.0,754.0,Пасмурно,З 1м/с
8.0,750,Пасмурно,Ю 2м/с,8.0,745.0,Переменная облачность,Ю 2м/с
8.0,739,Малооблачно,З 3м/с,6.0,737.0,Переменная облачность,З 3м/с
4.0,735,Пасмурно,СЗ 2м/с,4.0,738.0,Переменная облачность,СЗ 2м/с
2.0,739,Пасмурно,СВ 1м/с,1.0,743.0,Малооблачно,СВ 1м/с
5.0,754,Ясно,Ю 1м/с,4.0,755.0,Ясно,Ю 1м/с
3.0,755,Пасмурно,ЮВ 2м/с,4.0,755.0,Ясно,ЮВ 2м/с
7.0,755,Ясно,ЮВ 1м/с,6.0,755.0,Ясно,ЮВ 1м/с
